name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
兰君子-胡哥说大A,0,0,0,0%,0%,0%,0%,0%,0%,305
申抖音11付费指标开口,57,58,134,5.67%,6.56%,5.52%,2.88%,3.39%,2.22%,306
PCAD-27098256-短线王,3,5,96,12%,6.25%,6.95%,4%,5%,2.32%,307
JQ7-财经股天乐,0,0,0,0%,0%,0%,0%,0%,0%,308
博融1,0,0,0,0%,0%,0%,0%,0%,0%,309
博融2,0,0,0,0%,0%,0%,0%,0%,0%,310
博融3,0,0,0,0%,0%,0%,0%,0%,0%,311
博融4,0,0,0,0%,0%,0%,0%,0%,0%,312
博融5,0,0,0,0%,0%,0%,0%,0%,0%,313
PCAD-27098251-短线王,0,0,0,0%,0%,0%,0%,0%,0%,314
1995-缠论说股-注销,0,0,0,0%,0%,0%,0%,0%,0%,315
视频号-SK-23788710-趋势王0.1元,0,0,0,0%,0%,0%,0%,0%,0%,316
1995-趋势之光,0,0,0,0%,0%,0%,0%,0%,0%,317
小米-OTT-指标,0,0,0,0%,0%,0%,0%,0%,0%,318
小米-OTT-免费票,0,0,0,0%,0%,0%,0%,0%,0%,319
小米-信息流-指标-图片,0,0,0,0%,0%,0%,0%,0%,0%,320
小米-信息流-指标-视频,0,0,0,0%,0%,0%,0%,0%,0%,321
小米-信息流-免费票-图片,0,0,0,0%,0%,0%,0%,0%,0%,322
小米-信息流-免费票-视频,0,0,0,0%,0%,0%,0%,0%,0%,323
1995-股道神牛-注销,0,0,0,0%,0%,0%,0%,0%,0%,324
PCAD-SK-23788536-四合一,171,204,187,5.44%,6.79%,7.18%,2.52%,3%,2.88%,325
优量汇-SK-23788715-短线王,1,0,0,11.11%,0%,0%,0%,0%,0%,326
ZSL-鑫哥超有财,0,0,0,0%,0%,0%,0%,0%,0%,327
骋翼1,0,0,0,0%,0%,0%,0%,0%,0%,328
骋翼2,0,0,0,0%,0%,0%,0%,0%,0%,329
骋翼3,0,0,0,0%,0%,0%,0%,0%,0%,330
骋翼4,0,0,0,0%,0%,0%,0%,0%,0%,331
骋翼5,0,0,0,0%,0%,0%,0%,0%,0%,332
PCAD-SK-23788721-盘前股票池,0,0,0,0%,0%,0%,0%,0%,0%,333
M-主力先锋,0,0,0,0%,0%,0%,0%,0%,0%,334
1995-慧眼光芒,0,0,0,0%,0%,0%,0%,0%,0%,335
优量汇-SK-31862352-四合一,0,0,0,0%,0%,0%,0%,0%,0%,336
M-股市指路人,0,0,0,0%,0%,0%,0%,0%,0%,337
短线旭哥-小铃铛,0,0,4,0%,0%,8.51%,0%,0%,6.38%,338
